Remapping scheme for NNprobes 32-Poly3 (Ser nrs xxx);;;;;
Neuronexus adaptor (Adpt-A32-OM32);;;;;
Headstage Amplipex HS3;;;;;
Mapping as included in current file taken from ProbeRemapping_32Chan_Oct2016.ods. x y coords will be added later ;;;;;
Note probesites are arranged according to anatomical layout: probe ch17 is closest to headstage; probe ch1 is at probe tip ie most ventral (at bottom of collumn); for each of these sites the corresponding Amplipex channel is shown.;;;
Shank;Probesites;Adaptorchans;Amplipex HS3;x;y
1;17;22;22;50;550
1;16;11;11;0;500
1;23;24;24;0;500
1;18;21;21;50;500
1;10;9;9;100;500
1;24;18;18;0;450
1;15;12;12;50;450
1;9;2;2;100;450
1;25;26;26;0;400
1;19;20;20;50;400
1;8;8;8;100;400
1;26;17;17;0;350
1;14;13;13;50;350
1;7;3;3;100;350
1;27;27;27;0;300
1;20;19;19;50;300
1;6;7;7;100;300
1;28;29;29;0;250
1;13;14;14;50;250
1;5;4;4;100;250
1;29;28;28;0;200
1;21;23;23;50;200
1;4;15;15;100;200
1;30;31;31;50;150
1;12;10;10;100;150
1;3;5;5;0;150
1;31;30;30;50;100
1;22;25;25;100;100
1;2;6;6;0;50
1;32;32;32;50;50
1;11;1;1;100;50
1;1;16;16;50;0
